"Libellé";"idBank";"Période";"2010-01";"2010-02";"2010-03";"2010-04";"2010-05";"2010-06";"2010-07";"2010-08";"2010-09";"2010-10";"2010-11";"2010-12";"2011-01";"2011-02";"2011-03";"2011-04";"2011-05";"2011-06";"2011-07";"2011-08";"2011-09";"2011-10";"2011-11";"2011-12";"2012-01";"2012-02";"2012-03";"2012-04";"2012-05";"2012-06";"2012-07";"2012-08";"2012-09";"2012-10";"2012-11";"2012-12";"2013-01";"2013-02";"2013-03";"2013-04";"2013-05";"2013-06";"2013-07";"2013-08";"2013-09";"2013-10";"2013-11";"2013-12";"2014-01";"2014-02";"2014-03";"2014-04";"2014-05";"2014-06";"2014-07";"2014-08";"2014-09";"2014-10";"2014-11";"2014-12";"2015-01";"2015-02";"2015-03";"2015-04";"2015-05";"2015-06";"2015-07";"2015-08";"2015-09";"2015-10";"2015-11";"2015-12";"2016-01";"2016-02";"2016-03";"2016-04";"2016-05";"2016-06";"2016-07";"2016-08";"2016-09";"2016-10";"2016-11";"2016-12";"2017-01";"2017-02";"2017-03";"2017-04";"2017-05";"2017-06";"2017-07";"2017-08";"2017-09";"2017-10";"2017-11";"2017-12";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12"
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Provence-Alpes-Côte d'Azur";"001711190";"";"";"";"";"819.16";"1076.28";"1411.22";"4653.53";"5340.9";"1174.24";"";"";"";"";"";"";"820.52";"791.99";"1707.35";"5068.53";"5601.65";"1432.28";"";"";"";"";"";"";"822.87";"1067.48";"1606.82";"5057.25";"5684.32";"1393.08";"";"";"";"";"";"";"861.18";"1303.05";"1734.03";"4984.94";"5656.82";"1471.02";"";"";"";"";"";"";"832.44";"1216.49";"1905.67";"4614.98";"5794.39";"1701.46";"";"";"";"";"";"";"986.85";"1467.43";"1728.63";"4726.85";"5486.06";"1717.39";"";"";"";"";"";"";"822.77";"1242.63";"1799.43";"4657.85";"5426.72";"1551.69";"";"";"";"";"";"";"1124.52";"1046.42";"1948.02";"4813.84";"5570.68";"1726.48";"";"";"";"";"";"";"846.95";"1438.36";"1754.71";"4683.18";"5412.43";"1555.29";"";"";"";"";"";"";"1045.94";"1031.06";"2119.09";"4334.06";"5391.43";"1614.75";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Total - Corse";"001711178";"";"";"";"";"56.89";"167.37";"451.43";"1435.51";"1501.18";"360.16";"";"";"";"";"";"";"53.43";"138.78";"405.4";"1269.5";"1517.27";"410.43";"";"";"";"";"";"";"67.63";"154.89";"412.02";"1294.42";"1523.27";"415.17";"";"";"";"";"";"";"73.14";"198.23";"416.42";"1383.22";"1876.01";"465.16";"";"";"";"";"";"";"67.69";"167.86";"489.02";"1201.27";"1614.75";"472.81";"";"";"";"";"";"";"78.59";"211.98";"458.82";"1290.45";"1610.09";"495.06";"";"";"";"";"";"";"84.36";"194.63";"493.39";"1287.71";"1579.35";"525.74";"";"";"";"";"";"";"96.99";"179.33";"566.59";"1330.34";"1596.83";"543.82";"";"";"";"";"";"";"80.24";"278.34";"548.32";"1322.71";"1659.44";"568.0";"";"";"";"";"";"";"93.49";"189.45";"541.69";"1246.58";"1483.73";"596.38";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - France métropolitaine";"001711238";"";"";"";"";"1459.22";"2483.96";"4181.24";"13180.54";"12305.52";"2939.44";"";"";"";"";"";"";"1316.42";"1754.74";"4817.72";"12758.9";"12661.01";"3169.69";"";"";"";"";"";"";"1201.35";"2078.05";"4608.72";"13443.65";"12037.66";"3313.84";"";"";"";"";"";"";"1372.04";"2657.7";"4513.8";"13743.62";"12890.16";"3461.81";"";"";"";"";"";"";"1086.69";"1942.14";"5146.93";"12357.44";"13177.63";"3983.23";"";"";"";"";"";"";"1404.01";"2639.18";"4820.05";"12705.3";"12008.7";"3871.1";"";"";"";"";"";"";"1160.29";"2610.42";"4449.15";"11701.04";"13335.3";"3841.75";"";"";"";"";"";"";"1678.34";"2006.43";"5331.94";"12102.23";"13678.08";"3971.94";"";"";"";"";"";"";"1156.68";"2989.96";"4858.5";"12861.75";"13813.5";"4056.03";"";"";"";"";"";"";"1771.31";"2139.49";"5929.22";"12744.91";"13216.16";"4353.57";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Île-de-France";"001711227";"";"";"";"";"144.98";"169.3";"143.13";"333.54";"354.46";"76.77";"";"";"";"";"";"";"133.53";"132.05";"140.89";"284.18";"335.9";"90.06";"";"";"";"";"";"";"106.92";"126.55";"137.12";"302.02";"338.24";"107.91";"";"";"";"";"";"";"157.99";"206.35";"133.44";"280.71";"312.77";"123.45";"";"";"";"";"";"";"127.12";"165.46";"155.44";"342.45";"435.18";"135.45";"";"";"";"";"";"";"158.37";"201.98";"168.59";"328.39";"350.9";"113.63";"";"";"";"";"";"";"130.94";"143.57";"154.09";"242.5";"306.43";"97.35";"";"";"";"";"";"";"160.99";"126.67";"136.64";"245.42";"305.93";"94.98";"";"";"";"";"";"";"129.62";"171.54";"133.21";"278.88";"348.23";"143.23";"";"";"";"";"";"";"186.34";"132.46";"165.65";"289.8";"332.34";"115.92";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Centre-Val de Loire";"001711222";"";"";"";"";"24.21";"59.11";"105.95";"328.44";"369.89";"66.81";"";"";"";"";"";"";"32.65";"57.66";"129.64";"319.69";"350.48";"63.66";"";"";"";"";"";"";"24.18";"49.45";"108.79";"297.71";"314.42";"72.44";"";"";"";"";"";"";"19.69";"50.27";"100.53";"302.2";"350.1";"63.53";"";"";"";"";"";"";"19.4";"44.29";"103.29";"295.55";"366.7";"64.6";"";"";"";"";"";"";"20.13";"50.52";"108.47";"304.22";"329.4";"63.11";"";"";"";"";"";"";"21.46";"50.07";"77.42";"272.9";"332.65";"58.89";"";"";"";"";"";"";"21.61";"46.55";"107.23";"270.06";"352.98";"64.11";"";"";"";"";"";"";"15.59";"61.68";"111.61";"265.89";"346.74";"78.34";"";"";"";"";"";"";"24.45";"52.66";"114.68";"279.62";"356.37";"75.9";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Bourgogne-Franche-Comté";"001739006";"";"";"";"";"34.32";"116.3";"173.28";"573.56";"548.85";"109.68";"";"";"";"";"";"";"38.35";"85.65";"212.8";"510.82";"535.87";"121.2";"";"";"";"";"";"";"36.34";"123.33";"207.66";"593.65";"549.8";"124.18";"";"";"";"";"";"";"26.23";"98.05";"179.04";"571.91";"490.49";"110.02";"";"";"";"";"";"";"27.03";"85.43";"225.37";"446.0";"475.17";"125.84";"";"";"";"";"";"";"34.1";"117.72";"198.2";"497.69";"457.4";"114.51";"";"";"";"";"";"";"39.93";"120.63";"142.04";"472.39";"540.19";"128.76";"";"";"";"";"";"";"43.38";"100.46";"224.78";"486.84";"597.42";"131.17";"";"";"";"";"";"";"38.85";"151.58";"195.96";"471.28";"519.06";"148.08";"";"";"";"";"";"";"47.72";"97.84";"257.01";"508.1";"508.4";"169.01";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Normandie";"001739018";"";"";"";"";"81.74";"119.72";"186.15";"481.55";"469.98";"113.72";"";"";"";"";"";"";"96.66";"108.14";"207.03";"435.93";"433.01";"104.88";"";"";"";"";"";"";"55.23";"87.73";"164.07";"392.77";"381.68";"115.59";"";"";"";"";"";"";"59.13";"105.7";"163.2";"464.91";"488.41";"115.0";"";"";"";"";"";"";"60.34";"103.46";"257.88";"466.4";"477.18";"123.67";"";"";"";"";"";"";"75.42";"117.06";"195.46";"485.96";"464.64";"121.21";"";"";"";"";"";"";"69.04";"92.97";"153.53";"400.42";"455.68";"116.73";"";"";"";"";"";"";"66.63";"82.57";"185.58";"435.6";"512.21";"108.59";"";"";"";"";"";"";"42.89";"114.05";"195.04";"504.75";"549.13";"137.74";"";"";"";"";"";"";"79.6";"101.64";"268.03";"559.49";"520.45";"153.9";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Hauts-de-France";"001739029";"";"";"";"";"57.99";"121.95";"130.21";"268.87";"279.09";"89.93";"";"";"";"";"";"";"71.12";"97.06";"139.05";"252.19";"285.66";"87.53";"";"";"";"";"";"";"73.43";"103.42";"134.9";"263.46";"301.75";"106.98";"";"";"";"";"";"";"63.44";"120.43";"122.12";"281.04";"342.75";"97.75";"";"";"";"";"";"";"92.15";"102.66";"136.97";"293.76";"278.61";"99.72";"";"";"";"";"";"";"66.47";"109.28";"131.66";"277.56";"287.6";"88.39";"";"";"";"";"";"";"56.25";"108.92";"143.29";"248.67";"287.71";"96.73";"";"";"";"";"";"";"83.48";"101.05";"151.3";"252.88";"296.22";"96.4";"";"";"";"";"";"";"76.95";"123.14";"143.77";"287.58";"329.23";"103.07";"";"";"";"";"";"";"141.91";"135.72";"189.23";"341.24";"347.13";"105.64";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Grand Est";"001739041";"";"";"";"";"63.88";"156.71";"210.2";"474.94";"423.75";"131.47";"";"";"";"";"";"";"67.41";"116.85";"275.95";"425.55";"408.48";"134.05";"";"";"";"";"";"";"65.11";"159.72";"208.89";"434.72";"454.01";"166.19";"";"";"";"";"";"";"52.66";"139.51";"196.5";"498.2";"460.31";"140.44";"";"";"";"";"";"";"50.15";"123.9";"259.64";"379.2";"386.33";"156.42";"";"";"";"";"";"";"63.74";"156.33";"218.22";"444.14";"438.0";"144.42";"";"";"";"";"";"";"43.32";"184.12";"158.96";"419.38";"486.29";"164.8";"";"";"";"";"";"";"91.13";"145.21";"269.82";"429.87";"508.43";"161.58";"";"";"";"";"";"";"80.53";"224.44";"241.71";"477.09";"558.9";"212.41";"";"";"";"";"";"";"108.91";"136.19";"297.4";"521.68";"528.96";"202.73";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Pays de la Loire";"001711233";"";"";"";"";"56.69";"84.53";"252.97";"799.11";"874.89";"106.24";"";"";"";"";"";"";"64.73";"76.83";"264.71";"737.37";"872.07";"118.83";"";"";"";"";"";"";"44.72";"65.81";"257.22";"688.18";"802.08";"118.97";"";"";"";"";"";"";"46.85";"91.08";"249.12";"716.99";"878.85";"127.68";"";"";"";"";"";"";"50.02";"81.5";"265.45";"715.86";"855.66";"118.29";"";"";"";"";"";"";"50.14";"81.62";"245.88";"822.49";"825.3";"130.05";"";"";"";"";"";"";"49.28";"72.15";"210.71";"645.25";"830.17";"137.93";"";"";"";"";"";"";"33.78";"70.33";"232.88";"712.27";"923.37";"132.07";"";"";"";"";"";"";"27.02";"95.38";"239.88";"744.67";"911.24";"147.42";"";"";"";"";"";"";"33.43";"85.49";"244.5";"763.36";"867.4";"147.27";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Bretagne";"001711221";"";"";"";"";"62.5";"97.96";"305.57";"886.17";"947.58";"139.32";"";"";"";"";"";"";"65.02";"91.46";"292.22";"777.47";"880.19";"127.12";"";"";"";"";"";"";"48.88";"78.37";"259.96";"742.38";"825.37";"131.1";"";"";"";"";"";"";"56.24";"118.98";"258.36";"923.91";"1102.69";"179.36";"";"";"";"";"";"";"52.39";"104.08";"297.51";"931.77";"1128.14";"194.51";"";"";"";"";"";"";"61.3";"122.77";"307.25";"971.03";"981.03";"192.87";"";"";"";"";"";"";"62.54";"100.94";"263.34";"788.37";"1032.27";"189.74";"";"";"";"";"";"";"44.4";"95.11";"313.76";"800.9";"1049.0";"180.33";"";"";"";"";"";"";"30.73";"151.25";"331.97";"932.94";"1170.99";"224.05";"";"";"";"";"";"";"57.02";"131.06";"315.92";"1003.87";"1022.24";"218.45";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Nouvelle-Aquitaine";"001739053";"";"";"";"";"122.53";"213.7";"525.67";"2441.06";"2351.04";"467.62";"";"";"";"";"";"";"135.75";"178.25";"626.03";"2199.8";"2456.31";"489.02";"";"";"";"";"";"";"108.26";"182.6";"602.55";"2253.53";"2260.76";"544.32";"";"";"";"";"";"";"129.36";"239.68";"633.95";"2408.68";"2494.05";"520.13";"";"";"";"";"";"";"121.23";"209.65";"682.76";"2175.28";"2542.41";"679.28";"";"";"";"";"";"";"140.95";"255.03";"740.22";"2272.02";"2357.24";"672.12";"";"";"";"";"";"";"158.93";"252.44";"674.51";"2107.72";"2682.81";"699.63";"";"";"";"";"";"";"306.74";"261.22";"799.23";"2169.82";"2719.49";"656.52";"";"";"";"";"";"";"163.62";"318.42";"791.62";"2451.6";"2892.38";"801.97";"";"";"";"";"";"";"294.29";"272.46";"932.67";"2474.44";"2706.74";"806.82";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Occitanie";"001739065";"";"";"";"";"287.21";"478.48";"780.3";"2506.01";"2053.53";"634.62";"";"";"";"";"";"";"221.85";"299.34";"991.34";"2538.94";"2276.9";"679.95";"";"";"";"";"";"";"232.72";"414.99";"989.92";"2907.5";"2083.11";"687.51";"";"";"";"";"";"";"286.55";"575.72";"909.39";"2678.62";"2176.86";"756.45";"";"";"";"";"";"";"148.84";"288.74";"986.94";"2304.7";"2185.05";"817.78";"";"";"";"";"";"";"256.02";"520.84";"929.36";"2365.89";"1947.78";"777.67";"";"";"";"";"";"";"156.92";"556.57";"915.47";"2335.8";"2376.59";"839.18";"";"";"";"";"";"";"277.81";"358.94";"1166.25";"2422.98";"2350.72";"914.19";"";"";"";"";"";"";"196.7";"629.14";"985.14";"2480.94";"2257.99";"778.26";"";"";"";"";"";"";"268.44";"354.53";"1301.0";"2299.4";"2198.52";"920.25";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Auvergne-Rhône-Alpes";"001739077";"";"";"";"";"106.97";"235.66";"408.24";"1636.06";"1381.98";"228.82";"";"";"";"";"";"";"85.25";"152.51";"503.85";"1781.33";"1485.64";"264.32";"";"";"";"";"";"";"90.02";"204.5";"496.99";"1962.92";"1543.65";"257.92";"";"";"";"";"";"";"89.06";"228.52";"474.94";"1960.74";"1443.92";"230.93";"";"";"";"";"";"";"70.02";"178.6";"529.78";"1622.36";"1522.93";"292.95";"";"";"";"";"";"";"100.99";"246.78";"482.27";"1609.79";"1351.03";"296.91";"";"";"";"";"";"";"121.05";"266.86";"461.28";"1545.07";"1602.11";"307.88";"";"";"";"";"";"";"149.52";"193.12";"531.82";"1581.45";"1707.31";"320.48";"";"";"";"";"";"";"93.46";"279.57";"477.27";"1666.91";"1647.8";"317.68";"";"";"";"";"";"";"142.66";"189.45";"567.81";"1596.24";"1580.19";"354.93";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Provence-Alpes-Côte d'Azur";"001711236";"";"";"";"";"388.98";"540.49";"720.71";"1825.19";"1601.74";"604.35";"";"";"";"";"";"";"283.65";"300.08";"833.14";"2079.53";"1832.66";"720.26";"";"";"";"";"";"";"295.59";"407.88";"850.03";"2170.04";"1700.23";"694.04";"";"";"";"";"";"";"350.26";"576.88";"915.92";"2185.92";"1687.03";"794.29";"";"";"";"";"";"";"251.13";"393.87";"995.98";"1959.83";"1928.94";"930.58";"";"";"";"";"";"";"350.1";"566.96";"892.87";"1880.31";"1614.38";"948.69";"";"";"";"";"";"";"222.43";"572.62";"888.43";"1775.06";"1786.55";"761.24";"";"";"";"";"";"";"379.63";"358.06";"935.96";"1813.34";"1771.36";"872.68";"";"";"";"";"";"";"246.61";"545.71";"784.79";"1832.21";"1629.25";"731.63";"";"";"";"";"";"";"371.99";"385.7";"1057.35";"1727.99";"1691.85";"833.87";"";"";""
"Codes";"";"";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"E";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"A";"A";"A";"A";"A";"A";"O";"O";"O"
